PARID,Tax Year,Case Number,Reason,Application Date,RESDATE,RESACT,Value in Dispute,VALCASE,Case Status,PROPERTY TYPE,CLASS,REGION,CITYNAME,District,Township,School District,NBHD,Hearing Type,TAXYR (NUMBER),Noticval,Txpyval,Note
210727.041P,2016,2014-239,Value in dispute,2/25/15,6/15/15,Decrease Value,165100,,,RP,C,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,C1117000,Board of Revision,2016,694100,529000,
282806A004.,2016,2014-284,Value in dispute,3/9/15,1/11/16,Decrease Value,760500,,,RP,C,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,C4456000,Board of Revision,2016,1500000,739500,
082120C008.,2016,2014-300,Value in dispute,3/16/15,6/29/15,Decrease Value,-271740,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,A2804000,Board of Revision,2016,3260,275000,
012024.075.,2016,2014-307,Value in dispute,3/12/15,8/24/15,,1050,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4452000,Board of Revision,2016,3200,2150,
032019I059.,2016,2014-317,Value in dispute,3/19/15,6/26/15,Decrease Value,133500,,,RP,A,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,A4456000,Board of Revision,2016,133500,,
415607.005.,2016,2014-326,Value in dispute,3/20/15,5/22/15,Decrease Value,534000,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2016,1184000,650000,
272803B099.,2016,2014-333,Value in dispute,3/23/15,7/27/15,No Change in Value,-175800,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1705000,Board of Revision,2016,24200,200000,
414244F112.,2016,2014-351,Recent Appraisal,3/25/15,6/29/15,Decrease Value,24400,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1512000,Board of Revision,2016,74400,50000,
414203.012.,2016,2014-363,Value in dispute,3/26/15,6/30/15,Decrease Value,8900,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1660000,Board of Revision,2016,13900,5000,
415604.001.,2016,2014-366,Value in dispute,3/26/15,8/24/15,Decrease Value,300010,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1527000,Board of Revision,2016,1683010,1383000,
415604.001T,2016,2014-366,Value in dispute,3/26/15,8/24/15,No Change in Value,0,,,RP,E,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1527000,Board of Revision,2016,8500,8500,
433315D047.,2016,2014-385,Value in dispute,3/27/15,6/29/15,Decrease Value,37810,,,RP,A,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,A2607000,Board of Revision,2016,37810,,
433315D046.,2016,2014-386,Value in dispute,3/27/15,6/26/15,No Change in Value,11520,,,RP,A,43,,WASHINGTON TWP / FELICITY LSD,WASHINGTON TWP , FELICITY LSD,A2607000,Board of Revision,2016,11520,,
082122E003.,2016,2014-387,Value in dispute,3/27/15,6/29/15,No Change in Value,238330,,,RP,A,8,,FRANKLIN TWP / FELICITY LSD,FRANKLIN TWP , FELICITY LSD,A2804000,Board of Revision,2016,238330,,
501102.014.,2016,2014-397,Value in dispute,3/27/15,6/25/15,Decrease Value,109150,,,RP,R,50,,WAYNE TWP/ NEWTONSVILLE VILL/ CNE LSD, NEWTONSVILLE VILL, CNE LSD,4003000,Board of Revision,2016,119400,10250,
014737A011.,2016,2014-405,Value in dispute,3/27/15,6/16/15,Decrease Value,88300,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4445000,Board of Revision,2016,188300,100000,
302911C032.,2016,2014-408,Value in dispute,3/30/15,8/19/15,Increase Value,-71650,,,RP,A,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,A4247000,Board of Revision,2016,62850,134500,
413112A176.,2016,2014-462,Value in dispute,3/30/15,6/30/15,Decrease Value,12200,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1667000,Board of Revision,2016,37600,25400,
413112A209.,2016,2014-472,Value in dispute,3/27/15,7/20/15,Decrease Value,194500,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1660000,Board of Revision,2016,544500,350000,
393109C035.,2016,2014-488,Value in dispute,3/31/15,8/17/15,,0,,,RP,C,39,,UNION TWP / MILFORD EVSD,UNION TWP , MILFORD EVSD,C1117000,Board of Revision,2016,35000,35000,
132202C284.,2016,2014-490,Value in dispute,3/31/15,7/27/15,Decrease Value,116000,,,RP,R,13,,GOSHEN TWP / LOVELAND CITY SD,GOSHEN TWP , LOVELAND CITY SD,4117000,Board of Revision,2016,436000,320000,
302909G010.,2016,2014-495,Value in dispute,3/31/15,6/26/15,Decrease Value,432100,,,RP,C,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,C4221000,Board of Revision,2016,1932100,1500000,
182402A151.,2016,2014-501,Value in dispute,3/31/15,7/20/15,Decrease Value,1142500,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0242000,Board of Revision,2016,2352500,1210000,
473406F063.,2016,2014-521,Value in dispute,3/31/15,7/27/15,Decrease Value,125320,,,RP,A,47,,WAYNE TWP / BLANCHESTER LSD,WAYNE TWP , BLANCHESTER LSD,A3905000,Board of Revision,2016,125320,,
473407C026.,2016,2014-521,Value in dispute,3/31/15,7/27/15,Decrease Value,184020,,,RP,A,47,,WAYNE TWP / BLANCHESTER LSD,WAYNE TWP , BLANCHESTER LSD,A3925000,Board of Revision,2016,184020,,
360312.147B,2016,2015-010,Value in dispute,12/17/15,5/24/16,Settlement Accepted,19700,,,RP,C,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,C3203000,Board of Revision,2016,52700,33000,
282806A007.,2016,2015-020,Value in dispute,1/11/16,4/13/16,,-1268400,,,RP,C,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,C4456000,Board of Revision,2016,131600,1400000,
282806A008.,2016,2015-020,Value in dispute,1/11/16,4/13/16,,-5700,,,RP,C,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,C4456000,Board of Revision,2016,1394300,1400000,
282807A294.,2016,2015-023,Value in dispute,1/15/16,4/13/16,,165700,,,RP,C,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,C1828000,Board of Revision,2016,240700,75000,
172517F097.,2016,2015-025,Value in dispute,1/15/16,4/13/16,,301900,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,479000,Board of Revision,2016,829600,527700,
172519A064.,2016,2015-049,Value in dispute,1/29/16,4/13/16,,64100,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,457000,Board of Revision,2016,174100,110000,
012011B080.,2016,2015-052,Value in dispute,1/29/16,4/13/16,,215800,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4449000,Board of Revision,2016,350800,135000,
014510A025.,2016,2015-052,Value in dispute,1/29/16,4/13/16,,-55900,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4449000,Board of Revision,2016,79100,135000,
192408E012.,2016,2015-064,Value in dispute,2/1/16,4/13/16,,66900,,,RP,C,19,,MIAMI TWP / CLERMONT NE LSD,MIAMI TWP , CLERMONT NE LSD,C0137000,Board of Revision,2016,85400,18500,
493408A054.,2016,2015-067,Value in dispute,2/2/16,4/13/16,,89800,,,RP,R,49,,WAYNE TWP / CLERMONT NE LSD,WAYNE TWP , CLERMONT NE LSD,3921000,Board of Revision,2016,159800,70000,
282813B234.,2016,2015-079,Value in dispute,2/8/16,7/22/16,Decrease Value,10000,,,RP,R,28,CINCINNATI,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1823002,Board of Revision,2016,215000,205000,
032021C117.,2016,2015-176,Value in dispute,3/16/16,7/21/16,No Change in Value,36000,,,RP,R,3,,BATAVIA TWP / WEST CLERMONT LSD,BATAVIA TWP , WEST CLERMONT LSD,4428000,Board of Revision,2016,117000,81000,
184612F077.,2016,2015-184,Value in dispute,3/16/16,7/20/16,Decrease Value,-647700,,,RP,C,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0238000,Board of Revision,2016,1052300,1700000,
302902A016.,2016,2015-188,Value in dispute,3/16/16,6/29/16,Increase Value,-439913,,,RP,C,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,C4211000,Board of Revision,2016,661900,1101813,
012007B108.,2016,2015-191,Value in dispute,3/16/16,7/19/16,WITHDRAWAL,-3466700,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4467000,Board of Revision,2016,6183300,9650000,
413214E045.,2016,2015-192,Value in dispute,3/16/16,9/9/16,Increase Value,-2408072,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1527000,Board of Revision,2016,1860300,4268372,
413105D178.,2016,2015-197,Value in dispute,3/16/16,9/9/16,No Change in Value,-259400,,,RP,C,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2016,240600,500000,
413105D178T,2016,2015-197,Value in dispute,3/16/16,9/9/16,Increase Value,-903000,,,RP,E,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,C1658000,Board of Revision,2016,857000,1760000,
172521E099.,2016,2015-235,Value in dispute,3/29/16,7/21/16,Decrease Value,45125,,,RP,R,17,,MIAMI TWP / L0VELAND CITY SD,MIAMI TWP , L0VELAND CITY SD,460000,Board of Revision,2016,314200,269075,
012020I077.,2016,2015-248,Value in dispute,3/24/16,7/20/16,Decrease Value,928300,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4454000,Board of Revision,2016,2228300,1300000,
012020I080.,2016,2015-248,Value in dispute,3/24/16,7/20/16,No Change in Value,-1290700,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4454000,Board of Revision,2016,9300,1300000,
012020I081.,2016,2015-248,Value in dispute,3/24/16,7/20/16,No Change in Value,-1273800,,,RP,C,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,C4454000,Board of Revision,2016,26200,1300000,
1111804,2016,2015-249,Value in dispute,3/24/16,7/20/16,Decrease Value,1455,,,MH,R,11,GOSHEN,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,04145M77,Board of Revision,2016,6000,4545,
182517C307.,2016,2015-251,Value in dispute,3/24/16,8/25/16,No Change in Value,-315400,,,RP,C,18,MILFORD,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0473000,Board of Revision,2016,42000,357400,
114337.054A,2016,2015-265,Value in dispute,3/30/16,7/20/16,No Change in Value,13800,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4111000,Board of Revision,2016,53800,40000,
403106E028.,2016,2015-268,Value in dispute,3/30/16,7/20/16,Decrease Value,135400,,,RP,C,40,,UNION TWP / CLERMONT NE LSD,UNION TWP , CLERMONT NE LSD,C1445000,Board of Revision,2016,560400,425000,
182405B060.,2016,2015-279,Value in dispute,3/31/16,7/21/16,Decrease Value,65900,,,RP,R,18,MILFORD,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,238000,Board of Revision,2016,95900,30000,
215716.031.,2016,2015-284,Value in dispute,3/31/16,7/21/16,Decrease Value,19000,,,RP,R,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,1124000,Board of Revision,2016,64400,45400,
012002E034.,2016,2015-286,Value in dispute,3/31/16,7/20/16,No Change in Value,12200,,,RP,R,1,,BATAVIA TWP / BATAVIA LSD,BATAVIA TWP , BATAVIA LSD,4456000,Board of Revision,2016,42200,30000,
282807A174.,2016,2015-293,Value in dispute,3/31/16,7/20/16,Decrease Value,-80400,,,RP,C,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,C1828000,Board of Revision,2016,244600,325000,
282807A174X,2016,2015-293,Value in dispute,3/31/16,7/21/16,No Change in Value,-189600,,,RP,E,28,,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,C1828000,Board of Revision,2016,135400,325000,
282813B236.,2016,2015-307,Value in dispute,3/17/16,4/8/16,WITHDRAWAL,229000,,,RP,R,28,CINCINNATI,PIERCE TWP / WEST CLERMONT LSD,PIERCE TWP , WEST CLERMONT LSD,1823002,Board of Revision,2016,229000,,
323005A062.,2016,2016-001,Value in dispute,1/3/17,5/17/17,Decrease Value,14800,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3013000,Board of Revision,2016,102800,88000,
414146A114.,2016,2016-002,Value in dispute,1/3/17,5/17/17,Decrease Value,10000,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1314000,Board of Revision,2016,67100,57100,
210710B103.,2016,2016-003,Value in dispute,1/3/17,5/17/17,Decrease Value,13900,,,RP,R,21,,MILFORD CITY / MILFORD EVSD,MILFORD CITY , MILFORD EVSD,1126000,Board of Revision,2016,21600,7700,
413214B377.,2016,2016-004,Value in dispute,1/5/17,7/18/17,WITHDRAWAL,18475,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1515000,Board of Revision,2016,105100,86625,
360324.078.,2016,2016-005,Value in dispute,1/11/17,5/17/17,Decrease Value,32275,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,3021000,Board of Revision,2016,127500,95225,
116611A012A,2016,2016-006,Value in dispute,1/11/17,7/18/17,WITHDRAWAL,-197100,,,RP,R,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4185000,Board of Revision,2016,2900,200000,
116611A12AT,2016,2016-006,Value in dispute,1/11/17,7/18/17,WITHDRAWAL,17000,,,RP,E,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,4185000,Board of Revision,2016,217000,200000,
182517E302.,2016,2016-007,Value in dispute,1/11/17,5/17/17,Decrease Value,800,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,403000,Board of Revision,2016,260800,260000,
360311.177A,2016,2016-008,Value in dispute,1/11/17,6/22/17,No Change in Value,-10200,,,RP,C,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,C3203000,Board of Revision,2016,6800,17000,
360311.178B,2016,2016-008,Value in dispute,1/11/17,6/22/17,Decrease Value,68200,,,RP,C,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,C3203000,Board of Revision,2016,134200,66000,
112204F204.,2016,2016-009,Value in dispute,1/6/17,5/24/17,Reinstate CAUV,133100,,,RP,A,11,,GOSHEN TWP / GOSHEN LSD,GOSHEN TWP , GOSHEN LSD,A4141000,Board of Revision,2016,133100,,
414203.003.,2016,2016-010,Value in dispute,1/6/17,5/17/17,Decrease Value,18800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1660000,Board of Revision,2016,62800,44000,
414203.004.,2016,2016-010,Value in dispute,1/6/17,5/17/17,Decrease Value,10700,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1660000,Board of Revision,2016,14700,4000,
414145E106.,2016,2016-011,Value in dispute,1/6/17,5/17/17,Decrease Value,39900,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1510000,Board of Revision,2016,94800,54900,
413217G138.,2016,2016-012,Value in dispute,1/6/17,5/25/17,Decrease Value,50800,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1609000,Board of Revision,2016,82800,32000,
414126.001.,2016,2016-013,Value in dispute,1/5/17,5/17/17,Decrease Value,38200,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1666000,Board of Revision,2016,88200,50000,
275712B049.,2016,2016-014,Value in dispute,1/4/17,5/25/17,Decrease Value,143000,,,RP,R,27,,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1805000,Board of Revision,2016,644000,501000,
360306.046C,2016,2016-015,Value in dispute,1/3/17,1/10/17,WITHDRAWAL,-4200,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,3205000,Board of Revision,2016,65800,70000,
304537.026.,2016,2016-016,Value in dispute,1/13/17,5/17/17,Decrease Value,45945,,,RP,R,30,,STONELICK TWP / CLERMONT NE LSD,STONELICK TWP , CLERMONT NE LSD,4254000,Board of Revision,2016,77500,31555,
523504A001.,2016,2016-017,Value in dispute,1/17/17,5/24/17,Reinstate CAUV,133900,,,RP,A,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,A3427000,Board of Revision,2016,133900,,
523504A105.,2016,2016-017,Value in dispute,1/17/17,5/24/17,Reinstate CAUV,24500,,,RP,A,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,A3427000,Board of Revision,2016,24500,,
523505A028.,2016,2016-018,Value in dispute,1/17/17,6/29/17,Decrease Value,219500,,,RP,C,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,C3406000,Board of Revision,2016,505500,286000,
523505A105.,2016,2016-018,Value in dispute,1/17/17,6/29/17,Decrease Value,-271100,,,RP,A,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,A3406000,Board of Revision,2016,14900,286000,
182405A086.,2016,2016-019,Value in dispute,1/17/17,6/15/17,Decrease Value,23000,,,RP,C,18,MILFORD,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,C0238000,Board of Revision,2016,133000,110000,
416702S044E,2016,2016-020,Value in dispute,1/17/17,5/24/17,WITHDRAWAL,-30400,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1635000,Board of Revision,2016,152600,183000,
493413B070.,2016,2016-021,Value in dispute,1/18/17,7/20/17,Decrease Value,30000,,,RP,R,49,,WAYNE TWP / CLERMONT NE LSD,WAYNE TWP , CLERMONT NE LSD,3919000,Board of Revision,2016,70000,40000,
060208.089B,2016,2016-022,Value in dispute,1/18/17,6/15/17,Decrease Value,124400,,,RP,C,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,C4605000,Board of Revision,2016,194400,70000,
413102C156.,2016,2016-023,Value in dispute,1/11/17,5/17/17,Decrease Value,27600,,,RP,R,41,,UNION TWP / WEST CLERMONT LSD,UNION TWP , WEST CLERMONT LSD,1680000,Board of Revision,2016,277600,250000,
323003D058.,2016,2016-024,Value in dispute,1/18/17,5/24/17,Reinstate CAUV,26400,,,RP,R,32,,TATE TWP / BETHEL LSD,TATE TWP , BETHEL LSD,3013000,Board of Revision,2016,26400,,
060203.154C,2016,2016-025,Value in dispute,1/20/17,7/20/17,Decrease Value,35300,,,RP,R,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,4714000,Board of Revision,2016,134300,99000,
182517E358.,2016,2016-026,Value in dispute,1/20/17,7/18/17,No Change in Value,47960,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,403000,Board of Revision,2016,289700,241740,
272817.008B,2016,2016-027,Value in dispute,1/20/17,5/25/17,Decrease Value,57000,,,RP,R,27,NEW RICHMOND,PIERCE TWP / NEW RICHMOND EVSD,PIERCE TWP , NEW RICHMOND EVSD,1916000,Board of Revision,2016,127000,70000,
060202.008.,2016,2016-028,Value in dispute,1/20/17,6/15/17,Decrease Value,35000,,,RP,C,6,,BATAVIA TWP/ BATAVIA VILL/ BATAVIA LSD, BATAVIA VILL, BATAVIA LSD,C4605000,Board of Revision,2016,48000,13000,
182403A140.,2016,2016-029,Value in dispute,1/19/17,5/17/17,Decrease Value,15995,,,RP,R,18,,MIAMI TWP / MILFORD EVSD,MIAMI TWP , MILFORD EVSD,311000,Board of Revision,2016,16000,5,
523512F050.,2016,2016-030,Value in dispute,1/19/17,7/18/17,WITHDRAWAL,23100,,,RP,R,52,,WILLIAMSBURG TWP / WILLIAMSBURG LSD,WILLIAMSBURG TWP , WILLIAMSBURG LSD,3428000,Board of Revision,2016,108100,85000,
360305.274C,2016,2016-031,Value in dispute,1/17/17,7/28/17,No Change in Value,30100,,,RP,R,36,,TATE TWP/ BETHEL VILL/ BETHEL LSD, BETHEL VILL, BETHEL LSD,3205000,Board of Revision,2016,50100,20000,
